category_code,brand01
computers.components.memory,kingston
computers.notebook,deepcool
appliances.kitchen.grill,delonghi
appliances.personal.scales,ava
electronics.audio.headphone,huawei
computers.peripherals.mouse,
appliances.kitchen.hood,bosch
,muljhtidom
,provence
,fissman
appliances.kitchen.blender,
computers.components.cooler,ship
electronics.smartphone,huawei
appliances.environment.vacuum,samsung
appliances.kitchen.hood,beko
,vitek
computers.peripherals.mouse,
electronics.clocks,elari
appliances.environment.water_heater,ariston
,braun
computers.peripherals.mouse,genius
,vitek
electronics.audio.headphone,samsung
,xiaomi
electronics.audio.headphone,hyperx
,borasco
appliances.kitchen.washer,lg
appliances.kitchen.blender,moulinex
appliances.kitchen.kettle,vitek
medicine.tools.tonometer,philips
computers.peripherals.mouse,logitech
appliances.environment.air_conditioner,beko
electronics.smartphone,apple
appliances.kitchen.hood,hansa
,
,
electronics.smartphone,samsung
electronics.smartphone,samsung
electronics.smartphone,samsung
appliances.environment.vacuum,philips
computers.notebook,microlab
appliances.environment.water_heater,ariston
computers.peripherals.mouse,delux
appliances.kitchen.kettle,
,redmond
appliances.kitchen.washer,lg
computers.components.cooler,deepcool
appliances.environment.air_conditioner,beko
,vitek
appliances.kitchen.blender,polaris
appliances.kitchen.microwave,ava
electronics.smartphone,apple
appliances.kitchen.hood,samsung
electronics.audio.headphone,xiaomi
appliances.kitchen.microwave,ava
appliances.personal.hair_cutter,philips
,iqos
,
,fujifilm
electronics.audio.headphone,xiaomi
computers.network.router,tp-link
appliances.iron,maxwell
electronics.audio.headphone,hyperx
appliances.kitchen.blender,polaris
electronics.smartphone,samsung
computers.network.router,tp-link
appliances.environment.fan,polaris
computers.peripherals.mouse,hyperx
,ava
,technodom
electronics.audio.headphone,plantronics
,samsung
appliances.environment.vacuum,samsung
appliances.kitchen.refrigerators,beko
furniture.kitchen.table,tefal
electronics.audio.headphone,panasonic
electronics.audio.headphone,razer
electronics.smartphone,oppo
electronics.smartphone,huawei
appliances.kitchen.kettle,
appliances.kitchen.blender,polaris
appliances.kitchen.toster,polaris
,akvafor
,ava
computers.network.router,asus
appliances.environment.vacuum,lg
,sony
electronics.smartphone,oppo
computers.peripherals.keyboard,hyperx
furniture.kitchen.table,tefal
appliances.environment.vacuum,tefal
,redmond
,xiaomi
electronics.smartphone,apple
electronics.smartphone,samsung
,redmond
,redmond
electronics.smartphone,xiaomi
appliances.environment.vacuum,samsung
electronics.smartphone,samsung
,aquapick
,redmond
appliances.environment.vacuum,thomas
appliances.personal.scales,polaris
appliances.kitchen.refrigerators,samsung
appliances.personal.hair_cutter,philips
appliances.environment.vacuum,samsung
appliances.kitchen.mixer,bosch
electronics.audio.headphone,xiaomi
computers.peripherals.mouse,microsoft
electronics.smartphone,oppo
computers.peripherals.mouse,x-game
appliances.kitchen.microwave,ava
computers.peripherals.mouse,logitech
computers.peripherals.monitor,samsung
computers.peripherals.mouse,bloody
electronics.smartphone,samsung
appliances.environment.air_heater,ava
electronics.smartphone,samsung
appliances.environment.fan,polaris
computers.peripherals.mouse,genius
,redmond
electronics.smartphone,samsung
appliances.personal.massager,gezatone
electronics.audio.headphone,bloody
,remington
appliances.kitchen.kettle,tefal
electronics.audio.headphone,awei
computers.network.router,tp-link
electronics.smartphone,samsung
,samsung
